Date,Close,High,Low,Open,Volume,Ticker,BTC-USD_Close,Global_Close
2023-11-09,251.51084899902344,255.45465087890625,243.3295440673828,247.0521697998047,1116630429,BNB-USD,,
2023-11-09,36693.125,37926.2578125,35592.1015625,35633.6328125,37762672382,BTC-USD,,
2023-11-09,2120.56103515625,2130.88525390625,1884.204345703125,1888.9403076171875,24709695029,ETH-USD,,
2023-11-09,67387.6015625,67970.41241354358,66877.64489047526,67023.34572147722,3981781,FPT.VN,,
2023-11-09,20227.2734375,20757.576171875,20151.515625,20416.666015625,41397310,HPG.VN,,
2023-11-09,39415.05078125,40441.99379167959,39023.83439632444,39610.65897371278,12143300,MWG.VN,,
2023-11-09,45.44482803344727,48.703067779541016,42.608184814453125,43.18186950683594,2830770419,SOL-USD,,
2023-11-09,24174.275390625,24761.9806121428,23939.19330201788,24017.552773834377,41018759,SSI.VN,,
2023-11-09,58369.9296875,59432.40872806095,58369.9296875,59432.40872806095,3426241,VCB.VN,,
2023-11-09,22700.0,22850.0,22000.0,22000.0,25962000,VIC.VN,,
2023-11-09,0.6674749851226807,0.7043129801750183,0.6463189721107483,0.688031017780304,3292007279,XRP-USD,,
2023-11-09,36693.125,37926.2578125,35592.1015625,35633.6328125,37762672382,bitcoin_data,,
2023-11-09,,,,,,bitcoin_data_global,36693.125,36693.125
2023-11-10,0.3862099945545196,0.3875490128993988,0.3648169934749603,0.3683879971504211,550972799,ADA-USD,,
2023-11-10,251.08236694335935,257.7880249023437,248.9433135986328,251.52682495117188,873515280,BNB-USD,,
2023-11-10,37313.96875,37493.80078125,36362.75390625,36702.25,22711265155,BTC-USD,,
2023-11-10,2078.289794921875,2134.69140625,2068.13427734375,2121.0673828125,14740624457,ETH-USD,,
2023-11-10,66659.1015625,67533.31422875378,66513.39317892681,66659.1015625,3905077,FPT.VN,,
2023-11-10,20075.7578125,20530.302734375,19962.12109375,20000.0,38383090,HPG.VN,,
2023-11-10,38534.8203125,39415.057324714464,38143.6038626269,38877.13470613896,11053600,MWG.VN,,
2023-11-10,56.64385223388672,57.34910202026367,45.21684646606445,45.4423713684082,3795204638,SOL-USD,,
2023-11-10,24135.09375,24997.06263017848,23939.193234433013,23978.37297023065,38879639,SSI.VN,,
2023-11-10,57108.234375,58104.31140939005,57108.234375,57838.69164247482,2109445,VCB.VN,,
2023-11-10,22475.0,22600.0,22200.0,22500.0,10290400,VIC.VN,,
2023-11-10,0.6605749726295471,0.6705390214920044,0.643110990524292,0.6676030158996582,2009821437,XRP-USD,,
2023-11-10,37313.96875,37493.80078125,36362.75390625,36702.25,22711265155,bitcoin_data,,
2023-11-10,,,,,,bitcoin_data_global,37313.96875,37313.96875
2023-11-11,0.3845640122890472,0.3943940103054046,0.371627002954483,0.3862259984016418,537348711,ADA-USD,,
2023-11-11,251.42161560058597,255.07839965820312,246.72113037109372,251.09848022460935,872206327,BNB-USD,,
2023-11-11,37138.05078125,37407.09375,36773.66796875,37310.0703125,13924272142,BTC-USD,,
2023-11-11,2052.7138671875,2089.530517578125,2035.0821533203125,2078.058349609375,10228351203,ETH-USD,,
2023-11-11,56.1026611328125,63.41544723510742,54.04486846923828,56.640995025634766,4182963132,SOL-USD,,
2023-11-11,0.6627349853515625,0.680741012096405,0.6443160176277161,0.6605600118637085,1754960201,XRP-USD,,
2023-11-11,37138.05078125,37407.09375,36773.66796875,37310.0703125,13924272142,bitcoin_data,,
2023-11-11,,,,,,bitcoin_data_global,37138.05078125,37138.05078125
2023-11-12,0.3833830058574676,0.3908190131187439,0.3735199868679046,0.3845439851284027,398823705,ADA-USD,,
2023-11-12,247.6400146484375,251.6469268798828,245.83245849609372,251.43441772460935,758715918,BNB-USD,,
2023-11-12,37054.51953125,37227.69140625,36779.1171875,37133.9921875,11545715999,BTC-USD,,
2023-11-12,2045.18701171875,2066.00341796875,2019.028076171875,2053.11865234375,7951011698,ETH-USD,,
2023-11-12,56.15409851074219,61.71490478515625,54.94210433959961,56.13203048706055,2987356952,SOL-USD,,
2023-11-12,0.6615359783172607,0.6704530119895935,0.6503880023956299,0.6627479791641235,988542527,XRP-USD,,
2023-11-12,37054.51953125,37227.69140625,36779.1171875,37133.9921875,11545715999,bitcoin_data,,
2023-11-12,,,,,,bitcoin_data_global,37054.51953125,37054.51953125
2023-11-13,0.3584150075912475,0.3883390128612518,0.3559080064296722,0.3834140002727508,441634462,ADA-USD,,
2023-11-13,241.33506774902344,250.1243133544922,241.12713623046875,247.64047241210935,888039233,BNB-USD,,
2023-11-13,36502.35546875,37405.1171875,36399.60546875,37070.3046875,19057712790,BTC-USD,,
2023-11-13,2055.265380859375,2116.0107421875,2031.9542236328125,2045.3544921875,14322027970,ETH-USD,,
2023-11-13,66586.234375,67023.34438633415,65930.56935799879,66731.93520309952,2657562,FPT.VN,,
2023-11-13,20606.060546875,20909.091796875,20075.7578125,20075.7578125,58142434,HPG.VN,,
2023-11-13,39121.640625,39415.0529296875,38192.50166015625,38681.52216796875,9522300,MWG.VN,,
2023-11-13,51.90705108642578,59.71365737915039,51.90705108642578,56.180625915527344,2942685126,SOL-USD,,
2023-11-13,24644.439453125,24761.98049688143,24135.093705794585,24291.816321855706,25637639,SSI.VN,,
2023-11-13,56776.2109375,57174.63863741104,56709.80502820023,57108.23272811127,4847965,VCB.VN,,
2023-11-13,22400.0,22525.0,22225.0,22525.0,8053600,VIC.VN,,
2023-11-13,0.6715239882469177,0.740568995475769,0.6451879739761353,0.6615980267524719,3089036403,XRP-USD,,
2023-11-13,36502.35546875,37405.1171875,36399.60546875,37070.3046875,19057712790,bitcoin_data,,
2023-11-13,,,,,,bitcoin_data_global,36502.35546875,36502.35546875
2023-11-14,0.3578700125217438,0.3713549971580505,0.3449530005455017,0.3583149909973144,430223143,ADA-USD,,
2023-11-14,242.263671875,248.66522216796875,236.2857360839844,241.36984252929688,917236070,BNB-USD,,
2023-11-14,35537.640625,36753.3515625,34948.5,36491.7890625,23857403554,BTC-USD,,
2023-11-14,1979.0526123046875,2065.06689453125,1939.2803955078125,2054.765380859375,13087862495,ETH-USD,,
2023-11-14,67460.4609375,68043.2718334332,66513.38664545176,67023.350883791,2946925,FPT.VN,,
2023-11-14,20454.544921875,20833.333984375,20227.2734375,20757.576171875,31904398,HPG.VN,,
2023-11-14,40588.703125,41175.52774849398,39904.07439759036,40099.68260542169,15235500,MWG.VN,,
